OBJECTID,AFFGEOID,TRACTCE,ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP,SHAPE_Length,SHAPE_Area
4157,1400000US37183053516,53516,37, North Carolina,NC,37183, Wake,37183053516,"Census Tract 535.16, Wake County, North Carolina",1.01730889,4114,627,1535,36,1451,81,303,175,105,87,29629,5054,469,279,299,74,857,217,241,98,199,108.7,2282,687.5,556,463.3,374,136.8,12,10,132,104.7,93,67,1,3,7.5,4.2,3.8,3.2,29629,5054,16.6,8.2,7.3,1.9,20.8,4.2,5.9,2.5,13.7,7.5,55.5,14.4,14.4,11.8,24.4,8.9,0.8,0.7,9.1,7.2,6.4,4.5,0,0.1,0.2676,0.102,0.3484,0.6787,1.3967,0.3214,0.137,0.3545,0.0834,0.776,1.3508,0.1304,0.7338,0.9123,1.6461,0.8597,0.8409,0.509,0.9004,0.5539,0.3163,3.1205,0.8175,7.5141,0.5392,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,2,1248,607,30.3,11,3790,0.069257503807729,0.0002642556965
4158,1400000US37183053517,53517,37, North Carolina,NC,37183, Wake,37183053517,"Census Tract 535.17, Wake County, North Carolina",1.57857687,5138,597,1668,69,1542,95,1162,393,148,79,19375,2444,852,280,216,53,1502,261,305,110,227,92.6,3374,650,1186,393.8,3,18,409,81,156,93.6,80,49,12,10,22.8,7.5,4.9,2.5,19375,2444,26.7,6.6,4.2,1.1,29.2,3.8,5.9,2.1,14.7,5.9,65.7,10.1,25.8,8.1,0.2,1.1,24.5,4.8,10.1,6,5.2,3.1,0.2,0.2,0.7503,0.1819,0.7413,0.8687,2.5423,0.674,0.0409,0.853,0.0834,0.8097,1.787,0.3399,0.7887,0.9724,1.7611,0.9134,0.2295,0.9236,0.9143,0.4769,0.4842,3.0285,0.7836,9.1188,0.7592,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,2,3,2163,561,42.1,7.8,5911,0.086226359948678,0.0004092753795
4159,1400000US37183053518,53518,37, North Carolina,NC,37183, Wake,37183053518,"Census Tract 535.18, Wake County, North Carolina",1.08212614,3856,262,1583,37,1542,58,216,109,67,48,35242,4751,78,70,491,56,834,166,391,126,50,40.3,305,343.4,12,47.8,0,17,16,24,15,24.2,20,23,11,7,5.6,2.8,3.6,2.4,35242,4751,2.8,2.5,12.7,1.7,21.6,4,10.2,3.5,3.2,2.6,7.9,8.9,0.3,1.3,0,1.1,1,1.5,1,1.6,1.3,1.5,0.3,0.2,0.1828,0.0901,0.2197,0.0907,0.5833,0.0762,0.4396,0.4088,0.3574,0.125,1.3308,0.124,0.1866,0.2737,0.4603,0.2012,0,0.5311,0.3656,0.1186,0.5126,1.528,0.1838,3.9023,0.0594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,113,5.7,2.8,1749,0.083073754044458,0.000283875963
4160,1400000US37183053519,53519,37, North Carolina,NC,37183, Wake,37183053519,"Census Tract 535.19, Wake County, North Carolina",0.79028747,4742,418,1988,48,1945,67,1373,507,248,113,21003,2604,469,193,410,87,1286,361,386,153,332,122.3,2453,545.2,496,176.8,409,135.9,0,12,116,90.5,84,59,0,12,29.1,9,9.2,4.1,21003,2604,15.8,6.4,8.6,2.1,27.1,7.2,8.1,3.3,17.1,6.3,51.7,10.6,12,4.2,20.6,6.8,0,1.7,6,4.6,4.3,3,0,0.3,0.8445,0.5557,0.6751,0.6567,2.7321,0.7258,0.1987,0.7695,0.2051,0.8685,2.0418,0.5097,0.7112,0.8894,1.6007,0.8376,0.809,0,0.8308,0.4077,0,2.0475,0.359,8.422,0.6694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1244,399,26.2,7.3,3772,0.061014095542,0.0002137069125
4161,1400000US37183053520,53520,37, North Carolina,NC,37183, Wake,37183053520,"Census Tract 535.20, Wake County, North Carolina",1.33615578,5646,400,2290,98,2290,98,776,439,243,120,29400,3563,306,171,286,77,1342,219,275,138,203,117.2,3020,489.4,470,264,529,180,35,38,78,55.7,54,61,0,17,13.8,7.5,6.5,3.1,29400,3563,8.4,4.5,5.1,1.4,23.8,3.5,4.9,2.4,8.9,5.1,53.5,7.8,8.8,4.9,23.1,7.8,1.5,1.7,3.4,2.4,2.4,2.7,0,0.3,0.5187,0.3209,0.3556,0.3693,1.5645,0.3744,0.0604,0.563,0.0486,0.5357,1.2077,0.0907,0.7221,0.8474,1.5695,0.8226,0.831,0.5721,0.6923,0.2295,0,2.3249,0.4771,6.6667,0.4045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1109,315,19.6,5.3,3963,0.081000983117535,0.000343977745
4162,1400000US37183053521,53521,37, North Carolina,NC,37183, Wake,37183053521,"Census Tract 535.21, Wake County, North Carolina",4.24141387,3427,247,1316,27,1278,58,167,122,68,56,42996,4615,128,74,565,155,862,138,269,154,45,44.6,898,323.6,145,102.9,20,32.3,0,12,9,18.4,0,12,19,16,4.9,3.7,3.5,2.9,42996,4615,5.1,2.9,16.5,4.3,25.2,3.6,7.9,4.5,3.5,3.5,26.2,9.3,4.6,3.2,1.5,2.5,0,2.6,0.7,1.4,0,2.7,0.6,0.5,0.1517,0.0842,0.1171,0.2007,0.5537,0.0692,0.6817,0.6584,0.1921,0.1416,1.6738,0.2742,0.4886,0.7409,1.2294,0.6441,0.363,0,0.3065,0,0.6099,1.2794,0.1252,4.7363,0.1363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313,130,9.2,3.6,8567,0.151122534705932,0.001099205966
4163,1400000US37183053522,53522,37, North Carolina,NC,37183, Wake,37183053522,"Census Tract 535.22, Wake County, North Carolina",2.39723859,5287,503,2395,124,2114,195,70,93,173,115,44438,4916,81,72,195,126,1446,200,169,86,143,82,2635,626.2,67,93.1,1136,226.4,0,17,127,85.7,106,70,0,17,1.3,1.8,5.6,3.4,44438,4916,2.3,2.1,3.7,2.3,27.4,2.7,3.2,1.6,6.8,3.8,49.8,10.9,1.4,1.9,47.4,9.1,0,1.4,6,4,5,3.2,0,0.3,0.0226,0.2404,0.1055,0.0699,0.4384,0.0431,0.0334,0.78,0.0181,0.3827,1.2142,0.0923,0.7,0.509,1.209,0.6325,0.9394,0,0.8324,0.4624,0,2.2342,0.438,5.0958,0.1788,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,348,192,6.6,3.6,5440,0.103285528171171,0.0006180431795
4164,1400000US37183053523,53523,37, North Carolina,NC,37183, Wake,37183053523,"Census Tract 535.23, Wake County, North Carolina",2.08262994,5573,453,2246,53,2104,116,221,154,85,84,50028,6616,62,54,420,123,1726,239,177,81,219,97.3,1817,654.9,65,81.4,816,211.1,0,17,51,48.1,33,33,0,17,4,2.8,3,2.8,50028,6616,1.7,1.5,7.5,2.3,31,3.5,3.2,1.5,10.4,4.6,32.6,11.4,1.2,1.5,36.3,9.4,0,1.5,2.4,2.3,1.6,1.6,0,0.3,0.1125,0.0598,0.0699,0.0465,0.2887,0.017,0.1457,0.9022,0.0181,0.6297,1.6956,0.2866,0.5592,0.4865,1.0457,0.5424,0.9062,0,0.5942,0.1479,0,1.6484,0.2182,4.6785,0.1303,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,2,212,134,3.8,2.4,7064,0.118395891416203,0.0005487842245
4165,1400000US37183053524,53524,37, North Carolina,NC,37183, Wake,37183053524,"Census Tract 535.24, Wake County, North Carolina",0.93644716,3738,282,1558,49,1508,71,305,163,124,134,28175,3435,195,175,373,50,735,115,415,120,46,40.2,847,461.2,191,137.6,455,102.2,0,12,28,29.7,112,61,0,12,8.2,4.1,5.7,6,28175,3435,7.3,6.1,10,1.6,19.7,2.7,11.2,3.1,3.1,2.7,22.7,12.2,5.5,3.9,29.2,6.5,0,2.2,1.9,2,7.4,4,0,0.3,0.2985,0.2497,0.3936,0.3139,1.2556,0.2759,0.2743,0.2809,0.4311,0.1142,1.1005,0.0704,0.4426,0.7705,1.2132,0.6349,0.872,0,0.5175,0.6069,0,1.9964,0.34,5.5658,0.2402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,672,258,18.1,6.3,1707,0.074311234945014,0.000246109652
4166,1400000US37183053525,53525,37, North Carolina,NC,37183, Wake,37183053525,"Census Tract 535.25, Wake County, North Carolina",0.98256125,2475,149,930,32,906,43,17,22,39,33,36702,3840,20,19,141,22,686,87,137,49,79,42.2,554,253.4,42,63.7,10,19.2,15,18,27,30.5,0,12,0,12,0.7,0.9,2.7,2.3,36702,3840,1.2,1.1,5.7,0.9,27.7,3.1,5.5,1.9,8.7,4.6,22.4,10.2,1.8,2.7,1.1,2.1,1.6,1.9,3,3.4,0,3.8,0,0.5,0.0137,0.0483,0.1946,0.0307,0.2873,0.0167,0.077,0.7971,0.0681,0.5262,1.4684,0.1737,0.4386,0.5609,0.9995,0.517,0.3273,0.5792,0.6547,0,0,1.5612,0.1928,4.3164,0.093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,37,1.6,1.5,3075,0.077939653963418,0.0002595068205
